method,simnum,listnum,hit,miss,fa,cr,cost
kenett,4,50,285,108,189,12138,297.0
fe,4,50,107,286,24,12303,310.0
rw,5,1,63,330,31,12296,361.0
goni,5,1,12,381,1,12326,382.0
chan,5,1,59,334,26,12301,360.0
kenett,5,1,10,383,206,12121,589.0
fe,5,1,2,391,1,12326,392.0
rw,5,2,116,277,64,12263,341.0
goni,5,2,36,357,6,12321,363.0
chan,5,2,96,297,49,12278,346.0
kenett,5,2,12,381,321,12006,702.0
fe,5,2,5,388,1,12326,389.0
rw,5,3,162,231,95,12232,326.0
goni,5,3,60,333,17,12310,350.0
chan,5,3,104,289,67,12260,356.0
kenett,5,3,20,373,364,11963,737.0
fe,5,3,7,386,2,12325,388.0
rw,5,4,195,198,131,12196,329.0
goni,5,4,82,311,21,12306,332.0
chan,5,4,111,282,82,12245,364.0
kenett,5,4,21,372,411,11916,783.0
fe,5,4,10,383,2,12325,385.0
rw,5,5,230,163,159,12168,322.0
goni,5,5,117,276,30,12297,306.0
chan,5,5,126,267,82,12245,349.0
kenett,5,5,14,379,439,11888,818.0
fe,5,5,13,380,2,12325,382.0
rw,5,6,259,134,192,12135,326.0
goni,5,6,131,262,39,12288,301.0
chan,5,6,128,265,84,12243,349.0
kenett,5,6,17,376,445,11882,821.0
fe,5,6,15,378,2,12325,380.0
rw,5,7,282,111,229,12098,340.0
goni,5,7,157,236,50,12277,286.0
chan,5,7,126,267,85,12242,352.0
kenett,5,7,30,363,441,11886,804.0
fe,5,7,18,375,2,12325,377.0
rw,5,8,297,96,261,12066,357.0
goni,5,8,170,223,50,12277,273.0
chan,5,8,128,265,82,12245,347.0
kenett,5,8,129,264,345,11982,609.0
fe,5,8,21,372,2,12325,374.0
rw,5,9,311,82,292,12035,374.0
goni,5,9,200,193,53,12274,246.0
chan,5,9,132,261,70,12257,331.0
kenett,5,9,142,251,332,11995,583.0
fe,5,9,24,369,2,12325,371.0
rw,5,10,322,71,340,11987,411.0
goni,5,10,214,179,62,12265,241.0
chan,5,10,130,263,65,12262,328.0
kenett,5,10,141,252,333,11994,585.0
fe,5,10,27,366,2,12325,368.0
rw,5,11,333,60,372,11955,432.0
goni,5,11,228,165,66,12261,231.0
chan,5,11,134,259,54,12273,313.0
kenett,5,11,153,240,321,12006,561.0
fe,5,11,28,365,3,12324,368.0
rw,5,12,342,51,400,11927,451.0
goni,5,12,247,146,74,12253,220.0
chan,5,12,135,258,44,12283,302.0
kenett,5,12,157,236,317,12010,553.0
fe,5,12,29,364,4,12323,368.0
rw,5,13,351,42,430,11897,472.0
goni,5,13,257,136,80,12247,216.0
chan,5,13,134,259,44,12283,303.0
kenett,5,13,155,238,319,12008,557.0
fe,5,13,30,363,5,12322,368.0
rw,5,14,357,36,453,11874,489.0
goni,5,14,277,116,94,12233,210.0
chan,5,14,138,255,36,12291,291.0
kenett,5,14,188,205,286,12041,491.0
fe,5,14,33,360,5,12322,365.0
rw,5,15,365,28,486,11841,514.0
goni,5,15,286,107,96,12231,203.0
chan,5,15,140,253,29,12298,282.0
kenett,5,15,179,214,295,12032,509.0
fe,5,15,35,358,5,12322,363.0
rw,5,16,366,27,519,11808,546.0
goni,5,16,293,100,96,12231,196.0
chan,5,16,139,254,31,12296,285.0
kenett,5,16,180,213,294,12033,507.0
fe,5,16,38,355,5,12322,360.0
rw,5,17,369,24,547,11780,571.0
goni,5,17,297,96,103,12224,199.0
chan,5,17,141,252,27,12300,279.0
kenett,5,17,186,207,288,12039,495.0
fe,5,17,40,353,6,12321,359.0
rw,5,18,372,21,574,11753,595.0
goni,5,18,302,91,107,12220,198.0
chan,5,18,144,249,24,12303,273.0
kenett,5,18,200,193,274,12053,467.0
fe,5,18,42,351,6,12321,357.0
rw,5,19,375,18,601,11726,619.0
goni,5,19,311,82,115,12212,197.0
chan,5,19,146,247,24,12303,271.0
kenett,5,19,197,196,277,12050,473.0
fe,5,19,44,349,6,12321,355.0
rw,5,20,379,14,623,11704,637.0
goni,5,20,320,73,125,12202,198.0
chan,5,20,148,245,19,12308,264.0
kenett,5,20,207,186,267,12060,453.0
fe,5,20,46,347,6,12321,353.0
rw,5,21,381,12,656,11671,668.0
goni,5,21,322,71,137,12190,208.0
chan,5,21,149,244,17,12310,261.0
kenett,5,21,215,178,259,12068,437.0
fe,5,21,49,344,6,12321,350.0
rw,5,22,382,11,692,11635,703.0
goni,5,22,329,64,135,12192,199.0
chan,5,22,147,246,16,12311,262.0
kenett,5,22,223,170,251,12076,421.0
fe,5,22,50,343,8,12319,351.0
rw,5,23,384,9,717,11610,726.0
goni,5,23,330,63,144,12183,207.0
chan,5,23,153,240,10,12317,250.0
kenett,5,23,225,168,249,12078,417.0
fe,5,23,51,342,10,12317,352.0
rw,5,24,385,8,742,11585,750.0
goni,5,24,332,61,146,12181,207.0
chan,5,24,152,241,11,12316,252.0
kenett,5,24,216,177,258,12069,435.0
fe,5,24,52,341,11,12316,352.0
rw,5,25,387,6,766,11561,772.0
goni,5,25,334,59,157,12170,216.0
chan,5,25,153,240,11,12316,251.0
kenett,5,25,224,169,250,12077,419.0
fe,5,25,55,338,11,12316,349.0
rw,5,26,387,6,798,11529,804.0
goni,5,26,334,59,163,12164,222.0
chan,5,26,154,239,10,12317,249.0
kenett,5,26,239,154,235,12092,389.0
fe,5,26,58,335,11,12316,346.0
rw,5,27,387,6,822,11505,828.0
goni,5,27,338,55,169,12158,224.0
chan,5,27,153,240,10,12317,250.0
kenett,5,27,233,160,241,12086,401.0
fe,5,27,60,333,12,12315,345.0
rw,5,28,387,6,854,11473,860.0
goni,5,28,341,52,173,12154,225.0
chan,5,28,152,241,10,12317,251.0
kenett,5,28,246,147,228,12099,375.0
fe,5,28,60,333,14,12313,347.0
rw,5,29,387,6,888,11439,894.0
goni,5,29,344,49,174,12153,223.0
chan,5,29,152,241,10,12317,251.0
kenett,5,29,249,144,225,12102,369.0
fe,5,29,63,330,14,12313,344.0
rw,5,30,388,5,921,11406,926.0
goni,5,30,347,46,179,12148,225.0
chan,5,30,154,239,8,12319,247.0
kenett,5,30,247,146,227,12100,373.0
fe,5,30,66,327,14,12313,341.0
rw,5,31,388,5,948,11379,953.0
goni,5,31,351,42,185,12142,227.0
chan,5,31,151,242,11,12316,253.0
kenett,5,31,244,149,230,12097,379.0
fe,5,31,69,324,14,12313,338.0
rw,5,32,388,5,971,11356,976.0
goni,5,32,355,38,187,12140,225.0
chan,5,32,150,243,12,12315,255.0
kenett,5,32,250,143,224,12103,367.0
fe,5,32,72,321,14,12313,335.0
rw,5,33,389,4,999,11328,1003.0
goni,5,33,358,35,186,12141,221.0
chan,5,33,151,242,11,12316,253.0
kenett,5,33,256,137,218,12109,355.0
fe,5,33,75,318,14,12313,332.0
rw,5,34,390,3,1022,11305,1025.0
goni,5,34,359,34,199,12128,233.0
chan,5,34,152,241,9,12318,250.0
kenett,5,34,253,140,221,12106,361.0
fe,5,34,78,315,14,12313,329.0
rw,5,35,390,3,1055,11272,1058.0
goni,5,35,360,33,200,12127,233.0
chan,5,35,153,240,9,12318,249.0
kenett,5,35,245,148,229,12098,377.0
fe,5,35,78,315,15,12312,330.0
rw,5,36,390,3,1086,11241,1089.0
goni,5,36,362,31,203,12124,234.0
chan,5,36,152,241,10,12317,251.0
kenett,5,36,251,142,223,12104,365.0
fe,5,36,81,312,15,12312,327.0
rw,5,37,390,3,1107,11220,1110.0
goni,5,37,363,30,203,12124,233.0
chan,5,37,152,241,10,12317,251.0
kenett,5,37,257,136,217,12110,353.0
fe,5,37,82,311,15,12312,326.0
rw,5,38,391,2,1136,11191,1138.0
goni,5,38,363,30,204,12123,234.0
chan,5,38,152,241,10,12317,251.0
kenett,5,38,244,149,230,12097,379.0
fe,5,38,84,309,16,12311,325.0
rw,5,39,391,2,1164,11163,1166.0
goni,5,39,366,27,212,12115,239.0
chan,5,39,154,239,8,12319,247.0
kenett,5,39,246,147,228,12099,375.0
fe,5,39,85,308,17,12310,325.0
rw,5,40,391,2,1190,11137,1192.0
goni,5,40,366,27,205,12122,232.0
chan,5,40,154,239,8,12319,247.0
kenett,5,40,253,140,221,12106,361.0
fe,5,40,87,306,18,12309,324.0
rw,5,41,392,1,1215,11112,1216.0
goni,5,41,369,24,215,12112,239.0
chan,5,41,155,238,4,12323,242.0
kenett,5,41,264,129,210,12117,339.0
fe,5,41,88,305,18,12309,323.0
rw,5,42,392,1,1238,11089,1239.0
goni,5,42,369,24,221,12106,245.0
chan,5,42,155,238,4,12323,242.0
kenett,5,42,270,123,204,12123,327.0
fe,5,42,90,303,19,12308,322.0
rw,5,43,392,1,1265,11062,1266.0
goni,5,43,371,22,214,12113,236.0
chan,5,43,156,237,3,12324,240.0
kenett,5,43,273,120,201,12126,321.0
fe,5,43,90,303,19,12308,322.0
rw,5,44,392,1,1293,11034,1294.0
goni,5,44,372,21,217,12110,238.0
chan,5,44,156,237,3,12324,240.0
kenett,5,44,268,125,206,12121,331.0
fe,5,44,92,301,19,12308,320.0
rw,5,45,393,0,1316,11011,1316.0
goni,5,45,375,18,230,12097,248.0
chan,5,45,156,237,3,12324,240.0
kenett,5,45,270,123,204,12123,327.0
fe,5,45,94,299,19,12308,318.0
rw,5,46,393,0,1344,10983,1344.0
goni,5,46,374,19,232,12095,251.0
chan,5,46,155,238,4,12323,242.0
kenett,5,46,271,122,203,12124,325.0
fe,5,46,95,298,19,12308,317.0
rw,5,47,393,0,1369,10958,1369.0
goni,5,47,374,19,235,12092,254.0
chan,5,47,156,237,3,12324,240.0
kenett,5,47,271,122,203,12124,325.0
fe,5,47,96,297,20,12307,317.0
rw,5,48,393,0,1385,10942,1385.0
goni,5,48,373,20,246,12081,266.0
chan,5,48,156,237,3,12324,240.0
kenett,5,48,274,119,200,12127,319.0
fe,5,48,99,294,20,12307,314.0
rw,5,49,393,0,1407,10920,1407.0
goni,5,49,374,19,254,12073,273.0
chan,5,49,156,237,3,12324,240.0
kenett,5,49,277,116,197,12130,313.0
fe,5,49,100,293,20,12307,313.0
rw,5,50,393,0,1430,10897,1430.0
goni,5,50,375,18,261,12066,279.0
chan,5,50,156,237,3,12324,240.0
kenett,5,50,272,121,202,12125,323.0
fe,5,50,102,291,20,12307,311.0
rw,6,1,65,328,35,12292,363.0
goni,6,1,5,388,2,12325,390.0
chan,6,1,59,334,34,12293,368.0
kenett,6,1,20,373,220,12107,593.0
fe,6,1,3,390,0,12327,390.0
rw,6,2,127,266,61,12266,327.0
goni,6,2,29,364,9,12318,373.0
chan,6,2,88,305,48,12279,353.0
kenett,6,2,12,381,303,12024,684.0
fe,6,2,6,387,0,12327,387.0
rw,6,3,166,227,98,12229,325.0
goni,6,3,52,341,14,12313,355.0
chan,6,3,109,284,67,12260,351.0
kenett,6,3,18,375,360,11967,735.0
fe,6,3,9,384,0,12327,384.0
rw,6,4,200,193,132,12195,325.0
goni,6,4,72,321,18,12309,339.0
chan,6,4,115,278,80,12247,358.0
kenett,6,4,18,375,396,11931,771.0
fe,6,4,11,382,1,12326,383.0
rw,6,5,235,158,159,12168,317.0
goni,6,5,103,290,30,12297,320.0
chan,6,5,120,273,85,12242,358.0
kenett,6,5,17,376,421,11906,797.0
fe,6,5,14,379,1,12326,380.0
rw,6,6,260,133,191,12136,324.0
goni,6,6,124,269,39,12288,308.0
chan,6,6,125,268,77,12250,345.0
kenett,6,6,19,374,428,11899,802.0
fe,6,6,16,377,2,12325,379.0
rw,6,7,278,115,231,12096,346.0
goni,6,7,142,251,48,12279,299.0
chan,6,7,122,271,70,12257,341.0
kenett,6,7,17,376,436,11891,812.0
fe,6,7,19,374,2,12325,376.0
rw,6,8,301,92,267,12060,359.0
goni,6,8,161,232,52,12275,284.0
chan,6,8,124,269,73,12254,342.0
kenett,6,8,22,371,440,11887,811.0
fe,6,8,21,372,3,12324,375.0
rw,6,9,317,76,302,12025,378.0
goni,6,9,182,211,64,12263,275.0
chan,6,9,126,267,57,12270,324.0
kenett,6,9,26,367,436,11891,803.0
fe,6,9,24,369,3,12324,372.0
rw,6,10,323,70,340,11987,410.0
goni,6,10,193,200,69,12258,269.0
chan,6,10,124,269,67,12260,336.0
kenett,6,10,27,366,438,11889,804.0
fe,6,10,27,366,3,12324,369.0
rw,6,11,339,54,366,11961,420.0
goni,6,11,213,180,74,12253,254.0
chan,6,11,129,264,56,12271,320.0
kenett,6,11,29,364,442,11885,806.0
fe,6,11,29,364,3,12324,367.0
rw,6,12,349,44,402,11925,446.0
goni,6,12,228,165,85,12242,250.0
chan,6,12,123,270,55,12272,325.0
kenett,6,12,34,359,437,11890,796.0
fe,6,12,32,361,3,12324,364.0
rw,6,13,353,40,444,11883,484.0
goni,6,13,239,154,90,12237,244.0
chan,6,13,130,263,49,12278,312.0
kenett,6,13,182,211,292,12035,503.0
fe,6,13,35,358,3,12324,361.0
rw,6,14,362,31,475,11852,506.0
goni,6,14,250,143,105,12222,248.0
chan,6,14,131,262,44,12283,306.0
kenett,6,14,196,197,278,12049,475.0
fe,6,14,37,356,4,12323,360.0
rw,6,15,365,28,506,11821,534.0
goni,6,15,262,131,112,12215,243.0
chan,6,15,133,260,40,12287,300.0
kenett,6,15,205,188,269,12058,457.0
fe,6,15,40,353,4,12323,357.0
rw,6,16,372,21,531,11796,552.0
goni,6,16,277,116,124,12203,240.0
chan,6,16,142,251,32,12295,283.0
kenett,6,16,210,183,264,12063,447.0
fe,6,16,43,350,4,12323,354.0
rw,6,17,372,21,561,11766,582.0
goni,6,17,292,101,132,12195,233.0
chan,6,17,138,255,32,12295,287.0
kenett,6,17,218,175,256,12071,431.0
fe,6,17,46,347,4,12323,351.0
rw,6,18,377,16,594,11733,610.0
goni,6,18,303,90,133,12194,223.0
chan,6,18,141,252,32,12295,284.0
kenett,6,18,205,188,269,12058,457.0
fe,6,18,49,344,4,12323,348.0
rw,6,19,379,14,622,11705,636.0
goni,6,19,309,84,138,12189,222.0
chan,6,19,141,252,28,12299,280.0
kenett,6,19,215,178,259,12068,437.0
fe,6,19,51,342,4,12323,346.0
rw,6,20,379,14,658,11669,672.0
goni,6,20,310,83,143,12184,226.0
chan,6,20,139,254,30,12297,284.0
kenett,6,20,218,175,256,12071,431.0
fe,6,20,52,341,5,12322,346.0
rw,6,21,381,12,695,11632,707.0
goni,6,21,319,74,155,12172,229.0
chan,6,21,141,252,28,12299,280.0
kenett,6,21,227,166,247,12080,413.0
fe,6,21,55,338,5,12322,343.0
rw,6,22,385,8,727,11600,735.0
goni,6,22,320,73,157,12170,230.0
chan,6,22,145,248,23,12304,271.0
kenett,6,22,222,171,252,12075,423.0
fe,6,22,58,335,5,12322,340.0
rw,6,23,385,8,759,11568,767.0
goni,6,23,327,66,172,12155,238.0
chan,6,23,142,251,24,12303,275.0
kenett,6,23,230,163,244,12083,407.0
fe,6,23,59,334,6,12321,340.0
rw,6,24,387,6,785,11542,791.0
goni,6,24,331,62,178,12149,240.0
chan,6,24,144,249,21,12306,270.0
kenett,6,24,236,157,238,12089,395.0
fe,6,24,62,331,6,12321,337.0
rw,6,25,388,5,802,11525,807.0
goni,6,25,338,55,178,12149,233.0
chan,6,25,146,247,16,12311,263.0
kenett,6,25,235,158,239,12088,397.0
fe,6,25,63,330,7,12320,337.0
rw,6,26,388,5,833,11494,838.0
goni,6,26,343,50,191,12136,241.0
chan,6,26,149,244,13,12314,257.0
kenett,6,26,243,150,231,12096,381.0
fe,6,26,64,329,7,12320,336.0
rw,6,27,388,5,865,11462,870.0
goni,6,27,347,46,195,12132,241.0
chan,6,27,149,244,11,12316,255.0
kenett,6,27,238,155,236,12091,391.0
fe,6,27,66,327,8,12319,335.0
rw,6,28,389,4,897,11430,901.0
goni,6,28,351,42,205,12122,247.0
chan,6,28,149,244,10,12317,254.0
kenett,6,28,241,152,233,12094,385.0
fe,6,28,68,325,9,12318,334.0
rw,6,29,389,4,924,11403,928.0
goni,6,29,353,40,214,12113,254.0
chan,6,29,149,244,12,12315,256.0
kenett,6,29,248,145,226,12101,371.0
fe,6,29,71,322,9,12318,331.0
rw,6,30,389,4,949,11378,953.0
goni,6,30,354,39,224,12103,263.0
chan,6,30,147,246,13,12314,259.0
kenett,6,30,251,142,223,12104,365.0
fe,6,30,74,319,9,12318,328.0
rw,6,31,390,3,977,11350,980.0
goni,6,31,356,37,224,12103,261.0
chan,6,31,149,244,10,12317,254.0
kenett,6,31,244,149,230,12097,379.0
fe,6,31,77,316,9,12318,325.0
rw,6,32,390,3,1004,11323,1007.0
goni,6,32,358,35,223,12104,258.0
chan,6,32,149,244,10,12317,254.0
kenett,6,32,255,138,219,12108,357.0
fe,6,32,78,315,10,12317,325.0
rw,6,33,390,3,1032,11295,1035.0
goni,6,33,361,32,226,12101,258.0
chan,6,33,150,243,10,12317,253.0
kenett,6,33,255,138,219,12108,357.0
fe,6,33,80,313,11,12316,324.0
rw,6,34,390,3,1062,11265,1065.0
goni,6,34,361,32,226,12101,258.0
chan,6,34,149,244,10,12317,254.0
kenett,6,34,251,142,223,12104,365.0
fe,6,34,81,312,12,12315,324.0
rw,6,35,390,3,1081,11246,1084.0
goni,6,35,365,28,223,12104,251.0
chan,6,35,148,245,12,12315,257.0
kenett,6,35,257,136,217,12110,353.0
fe,6,35,82,311,14,12313,325.0
rw,6,36,390,3,1103,11224,1106.0
goni,6,36,367,26,222,12105,248.0
chan,6,36,149,244,10,12317,254.0
kenett,6,36,258,135,216,12111,351.0
fe,6,36,84,309,14,12313,323.0
rw,6,37,390,3,1125,11202,1128.0
goni,6,37,369,24,231,12096,255.0
chan,6,37,149,244,10,12317,254.0
kenett,6,37,251,142,223,12104,365.0
fe,6,37,87,306,14,12313,320.0
rw,6,38,391,2,1146,11181,1148.0
goni,6,38,368,25,234,12093,259.0
chan,6,38,149,244,10,12317,254.0
kenett,6,38,250,143,224,12103,367.0
fe,6,38,89,304,14,12313,318.0
rw,6,39,391,2,1179,11148,1181.0
goni,6,39,373,20,235,12092,255.0
chan,6,39,150,243,9,12318,252.0
kenett,6,39,264,129,210,12117,339.0
fe,6,39,91,302,15,12312,317.0
rw,6,40,392,1,1210,11117,1211.0
goni,6,40,372,21,237,12090,258.0
chan,6,40,151,242,8,12319,250.0
kenett,6,40,263,130,211,12116,341.0
fe,6,40,94,299,15,12312,314.0
rw,6,41,392,1,1234,11093,1235.0
goni,6,41,374,19,240,12087,259.0
chan,6,41,153,240,6,12321,246.0
kenett,6,41,263,130,211,12116,341.0
fe,6,41,97,296,15,12312,311.0
rw,6,42,392,1,1252,11075,1253.0
goni,6,42,375,18,244,12083,262.0
chan,6,42,153,240,6,12321,246.0
kenett,6,42,261,132,213,12114,345.0
fe,6,42,100,293,15,12312,308.0
rw,6,43,393,0,1279,11048,1279.0
goni,6,43,375,18,246,12081,264.0
chan,6,43,151,242,8,12319,250.0
kenett,6,43,262,131,212,12115,343.0
fe,6,43,103,290,15,12312,305.0
rw,6,44,393,0,1302,11025,1302.0
goni,6,44,378,15,249,12078,264.0
chan,6,44,152,241,7,12320,248.0
kenett,6,44,262,131,212,12115,343.0
fe,6,44,104,289,15,12312,304.0
rw,6,45,393,0,1323,11004,1323.0
goni,6,45,378,15,253,12074,268.0
chan,6,45,152,241,7,12320,248.0
kenett,6,45,274,119,200,12127,319.0
fe,6,45,106,287,15,12312,302.0
rw,6,46,393,0,1339,10988,1339.0
goni,6,46,379,14,253,12074,267.0
chan,6,46,152,241,7,12320,248.0
kenett,6,46,272,121,202,12125,323.0
fe,6,46,107,286,15,12312,301.0
rw,6,47,393,0,1367,10960,1367.0
goni,6,47,381,12,259,12068,271.0
chan,6,47,152,241,7,12320,248.0
kenett,6,47,265,128,209,12118,337.0
fe,6,47,110,283,15,12312,298.0
rw,6,48,393,0,1396,10931,1396.0
goni,6,48,381,12,268,12059,280.0
chan,6,48,153,240,6,12321,246.0
kenett,6,48,264,129,210,12117,339.0
fe,6,48,113,280,15,12312,295.0
rw,6,49,393,0,1426,10901,1426.0
goni,6,49,382,11,274,12053,285.0
chan,6,49,154,239,6,12321,245.0
kenett,6,49,274,119,200,12127,319.0
fe,6,49,116,277,15,12312,292.0
rw,6,50,393,0,1443,10884,1443.0
goni,6,50,381,12,277,12050,289.0
chan,6,50,155,238,4,12323,242.0
kenett,6,50,278,115,196,12131,311.0
fe,6,50,119,274,15,12312,289.0
rw,7,1,66,327,34,12293,361.0
goni,7,1,4,389,1,12326,390.0
chan,7,1,54,339,30,12297,369.0
kenett,7,1,11,382,214,12113,596.0
fe,7,1,3,390,0,12327,390.0
rw,7,2,119,274,67,12260,341.0
goni,7,2,22,371,3,12324,374.0
chan,7,2,84,309,48,12279,357.0
kenett,7,2,16,377,302,12025,679.0
fe,7,2,6,387,0,12327,387.0
rw,7,3,165,228,101,12226,329.0
goni,7,3,46,347,12,12315,359.0
chan,7,3,104,289,74,12253,363.0
kenett,7,3,16,377,386,11941,763.0
fe,7,3,9,384,0,12327,384.0
rw,7,4,201,192,135,12192,327.0
goni,7,4,76,317,20,12307,337.0
chan,7,4,114,279,93,12234,372.0
kenett,7,4,18,375,420,11907,795.0
fe,7,4,12,381,0,12327,381.0
rw,7,5,225,168,171,12156,339.0
goni,7,5,106,287,35,12292,322.0
chan,7,5,112,281,109,12218,390.0
kenett,7,5,17,376,436,11891,812.0
fe,7,5,15,378,0,12327,378.0
rw,7,6,252,141,206,12121,347.0
goni,7,6,125,268,38,12289,306.0
chan,7,6,123,270,102,12225,372.0
kenett,7,6,22,371,431,11896,802.0
fe,7,6,18,375,0,12327,375.0
rw,7,7,266,127,243,12084,370.0
goni,7,7,151,242,45,12282,287.0
chan,7,7,130,263,101,12226,364.0
kenett,7,7,20,373,436,11891,809.0
fe,7,7,20,373,1,12326,374.0
rw,7,8,286,107,276,12051,383.0
goni,7,8,164,229,51,12276,280.0
chan,7,8,130,263,90,12237,353.0
kenett,7,8,31,362,437,11890,799.0
fe,7,8,22,371,2,12325,373.0
rw,7,9,303,90,310,12017,400.0
goni,7,9,182,211,64,12263,275.0
chan,7,9,137,256,74,12253,330.0
kenett,7,9,26,367,442,11885,809.0
fe,7,9,23,370,2,12325,372.0
rw,7,10,319,74,336,11991,410.0
goni,7,10,204,189,72,12255,261.0
chan,7,10,136,257,53,12274,310.0
kenett,7,10,29,364,442,11885,806.0
fe,7,10,25,368,2,12325,370.0
rw,7,11,329,64,369,11958,433.0
goni,7,11,219,174,87,12240,261.0
chan,7,11,128,265,59,12268,324.0
kenett,7,11,34,359,437,11890,796.0
fe,7,11,28,365,2,12325,367.0
rw,7,12,346,47,387,11940,434.0
goni,7,12,234,159,102,12225,261.0
chan,7,12,128,265,55,12272,320.0
kenett,7,12,185,208,289,12038,497.0
fe,7,12,31,362,2,12325,364.0
rw,7,13,351,42,416,11911,458.0
goni,7,13,247,146,111,12216,257.0
chan,7,13,129,264,54,12273,318.0
kenett,7,13,187,206,287,12040,493.0
fe,7,13,33,360,2,12325,362.0
rw,7,14,357,36,449,11878,485.0
goni,7,14,259,134,119,12208,253.0
chan,7,14,131,262,48,12279,310.0
kenett,7,14,196,197,278,12049,475.0
fe,7,14,36,357,2,12325,359.0
rw,7,15,361,32,479,11848,511.0
goni,7,15,272,121,123,12204,244.0
chan,7,15,133,260,41,12286,301.0
kenett,7,15,196,197,278,12049,475.0
fe,7,15,38,355,2,12325,357.0
rw,7,16,366,27,509,11818,536.0
goni,7,16,280,113,132,12195,245.0
chan,7,16,135,258,39,12288,297.0
kenett,7,16,204,189,270,12057,459.0
fe,7,16,40,353,3,12324,356.0
rw,7,17,372,21,540,11787,561.0
goni,7,17,295,98,134,12193,232.0
chan,7,17,138,255,35,12292,290.0
kenett,7,17,208,185,266,12061,451.0
fe,7,17,42,351,4,12323,355.0
rw,7,18,376,17,568,11759,585.0
goni,7,18,304,89,134,12193,223.0
chan,7,18,141,252,33,12294,285.0
kenett,7,18,209,184,265,12062,449.0
fe,7,18,44,349,4,12323,353.0
rw,7,19,381,12,596,11731,608.0
goni,7,19,312,81,150,12177,231.0
chan,7,19,144,249,27,12300,276.0
kenett,7,19,211,182,263,12064,445.0
fe,7,19,45,348,4,12323,352.0
rw,7,20,383,10,627,11700,637.0
goni,7,20,317,76,149,12178,225.0
chan,7,20,146,247,26,12301,273.0
kenett,7,20,221,172,253,12074,425.0
fe,7,20,48,345,4,12323,349.0
rw,7,21,383,10,655,11672,665.0
goni,7,21,330,63,145,12182,208.0
chan,7,21,145,248,23,12304,271.0
kenett,7,21,228,165,246,12081,411.0
fe,7,21,51,342,4,12323,346.0
rw,7,22,384,9,677,11650,686.0
goni,7,22,333,60,159,12168,219.0
chan,7,22,146,247,19,12308,266.0
kenett,7,22,230,163,244,12083,407.0
fe,7,22,53,340,5,12322,345.0
rw,7,23,387,6,708,11619,714.0
goni,7,23,341,52,163,12164,215.0
chan,7,23,147,246,17,12310,263.0
kenett,7,23,233,160,241,12086,401.0
fe,7,23,56,337,5,12322,342.0
rw,7,24,387,6,742,11585,748.0
goni,7,24,340,53,170,12157,223.0
chan,7,24,149,244,15,12312,259.0
kenett,7,24,233,160,241,12086,401.0
fe,7,24,59,334,5,12322,339.0
rw,7,25,388,5,765,11562,770.0
goni,7,25,343,50,178,12149,228.0
chan,7,25,148,245,17,12310,262.0
kenett,7,25,233,160,241,12086,401.0
