method,simnum,listnum,hit,miss,fa,cr,cost
fe,7,25,61,332,6,12321,338.0
rw,7,26,388,5,796,11531,801.0
goni,7,26,348,45,181,12146,226.0
chan,7,26,147,246,16,12311,262.0
kenett,7,26,242,151,232,12095,383.0
fe,7,26,62,331,8,12319,339.0
rw,7,27,388,5,818,11509,823.0
goni,7,27,347,46,186,12141,232.0
chan,7,27,147,246,16,12311,262.0
kenett,7,27,241,152,233,12094,385.0
fe,7,27,65,328,8,12319,336.0
rw,7,28,388,5,855,11472,860.0
goni,7,28,346,47,198,12129,245.0
chan,7,28,149,244,12,12315,256.0
kenett,7,28,248,145,226,12101,371.0
fe,7,28,67,326,8,12319,334.0
rw,7,29,388,5,885,11442,890.0
goni,7,29,353,40,201,12126,241.0
chan,7,29,149,244,11,12316,255.0
kenett,7,29,244,149,230,12097,379.0
fe,7,29,68,325,8,12319,333.0
rw,7,30,388,5,915,11412,920.0
goni,7,30,355,38,208,12119,246.0
chan,7,30,149,244,11,12316,255.0
kenett,7,30,246,147,228,12099,375.0
fe,7,30,69,324,9,12318,333.0
rw,7,31,389,4,936,11391,940.0
goni,7,31,356,37,212,12115,249.0
chan,7,31,149,244,11,12316,255.0
kenett,7,31,254,139,220,12107,359.0
fe,7,31,71,322,9,12318,331.0
rw,7,32,389,4,959,11368,963.0
goni,7,32,357,36,215,12112,251.0
chan,7,32,149,244,13,12314,257.0
kenett,7,32,264,129,210,12117,339.0
fe,7,32,73,320,9,12318,329.0
rw,7,33,391,2,985,11342,987.0
goni,7,33,360,33,218,12109,251.0
chan,7,33,149,244,11,12316,255.0
kenett,7,33,271,122,203,12124,325.0
fe,7,33,76,317,9,12318,326.0
rw,7,34,391,2,1016,11311,1018.0
goni,7,34,364,29,222,12105,251.0
chan,7,34,148,245,12,12315,257.0
kenett,7,34,272,121,202,12125,323.0
fe,7,34,77,316,10,12317,326.0
rw,7,35,392,1,1044,11283,1045.0
goni,7,35,366,27,226,12101,253.0
chan,7,35,149,244,10,12317,254.0
kenett,7,35,270,123,204,12123,327.0
fe,7,35,78,315,11,12316,326.0
rw,7,36,392,1,1066,11261,1067.0
goni,7,36,364,29,230,12097,259.0
chan,7,36,149,244,10,12317,254.0
kenett,7,36,270,123,204,12123,327.0
fe,7,36,81,312,11,12316,323.0
rw,7,37,392,1,1092,11235,1093.0
goni,7,37,366,27,230,12097,257.0
chan,7,37,150,243,9,12318,252.0
kenett,7,37,271,122,203,12124,325.0
fe,7,37,84,309,11,12316,320.0
rw,7,38,392,1,1113,11214,1114.0
goni,7,38,368,25,239,12088,264.0
chan,7,38,150,243,9,12318,252.0
kenett,7,38,272,121,202,12125,323.0
fe,7,38,86,307,11,12316,318.0
rw,7,39,392,1,1140,11187,1141.0
goni,7,39,370,23,243,12084,266.0
chan,7,39,151,242,8,12319,250.0
kenett,7,39,277,116,197,12130,313.0
fe,7,39,88,305,11,12316,316.0
rw,7,40,393,0,1158,11169,1158.0
goni,7,40,372,21,245,12082,266.0
chan,7,40,152,241,7,12320,248.0
kenett,7,40,275,118,199,12128,317.0
fe,7,40,90,303,11,12316,314.0
rw,7,41,393,0,1188,11139,1188.0
goni,7,41,372,21,252,12075,273.0
chan,7,41,153,240,6,12321,246.0
kenett,7,41,272,121,202,12125,323.0
fe,7,41,92,301,11,12316,312.0
rw,7,42,393,0,1215,11112,1215.0
goni,7,42,373,20,263,12064,283.0
chan,7,42,154,239,5,12322,244.0
kenett,7,42,276,117,198,12129,315.0
fe,7,42,95,298,11,12316,309.0
rw,7,43,393,0,1245,11082,1245.0
goni,7,43,374,19,257,12070,276.0
chan,7,43,154,239,5,12322,244.0
kenett,7,43,279,114,195,12132,309.0
fe,7,43,97,296,11,12316,307.0
rw,7,44,393,0,1272,11055,1272.0
goni,7,44,375,18,259,12068,277.0
chan,7,44,154,239,5,12322,244.0
kenett,7,44,278,115,196,12131,311.0
fe,7,44,100,293,11,12316,304.0
rw,7,45,393,0,1297,11030,1297.0
goni,7,45,376,17,284,12043,301.0
chan,7,45,154,239,5,12322,244.0
kenett,7,45,279,114,195,12132,309.0
fe,7,45,102,291,12,12315,303.0
rw,7,46,393,0,1324,11003,1324.0
goni,7,46,378,15,285,12042,300.0
chan,7,46,154,239,5,12322,244.0
kenett,7,46,281,112,193,12134,305.0
fe,7,46,103,290,13,12314,303.0
rw,7,47,393,0,1342,10985,1342.0
goni,7,47,377,16,285,12042,301.0
chan,7,47,155,238,4,12323,242.0
kenett,7,47,274,119,200,12127,319.0
fe,7,47,106,287,13,12314,300.0
rw,7,48,393,0,1360,10967,1360.0
goni,7,48,377,16,284,12043,300.0
chan,7,48,155,238,5,12322,243.0
kenett,7,48,281,112,193,12134,305.0
fe,7,48,107,286,14,12313,300.0
rw,7,49,393,0,1382,10945,1382.0
goni,7,49,378,15,285,12042,300.0
chan,7,49,155,238,5,12322,243.0
kenett,7,49,281,112,193,12134,305.0
fe,7,49,108,285,16,12311,301.0
rw,7,50,393,0,1408,10919,1408.0
goni,7,50,378,15,291,12036,306.0
chan,7,50,155,238,4,12323,242.0
kenett,7,50,280,113,194,12133,307.0
fe,7,50,111,282,16,12311,298.0
rw,8,1,61,332,32,12295,364.0
goni,8,1,10,383,6,12321,389.0
chan,8,1,59,334,32,12295,366.0
kenett,8,1,14,379,223,12104,602.0
fe,8,1,3,390,0,12327,390.0
rw,8,2,113,280,69,12258,349.0
goni,8,2,29,364,8,12319,372.0
chan,8,2,75,318,56,12271,374.0
kenett,8,2,14,379,319,12008,698.0
fe,8,2,5,388,1,12326,389.0
rw,8,3,161,232,105,12222,337.0
goni,8,3,49,344,18,12309,362.0
chan,8,3,99,294,79,12248,373.0
kenett,8,3,18,375,381,11946,756.0
fe,8,3,8,385,1,12326,386.0
rw,8,4,196,197,144,12183,341.0
goni,8,4,76,317,25,12302,342.0
chan,8,4,117,276,83,12244,359.0
kenett,8,4,19,374,404,11923,778.0
fe,8,4,11,382,1,12326,383.0
rw,8,5,227,166,179,12148,345.0
goni,8,5,97,296,36,12291,332.0
chan,8,5,126,267,89,12238,356.0
kenett,8,5,19,374,428,11899,802.0
fe,8,5,13,380,2,12325,382.0
rw,8,6,250,143,212,12115,355.0
goni,8,6,127,266,48,12279,314.0
chan,8,6,131,262,89,12238,351.0
kenett,8,6,20,373,442,11885,815.0
fe,8,6,15,378,2,12325,380.0
rw,8,7,272,121,244,12083,365.0
goni,8,7,152,241,54,12273,295.0
chan,8,7,132,261,79,12248,340.0
kenett,8,7,22,371,440,11887,811.0
fe,8,7,18,375,2,12325,377.0
rw,8,8,291,102,276,12051,378.0
goni,8,8,175,218,59,12268,277.0
chan,8,8,133,260,74,12253,334.0
kenett,8,8,29,364,439,11888,803.0
fe,8,8,20,373,3,12324,376.0
rw,8,9,304,89,311,12016,400.0
goni,8,9,198,195,70,12257,265.0
chan,8,9,127,266,75,12252,341.0
kenett,8,9,26,367,442,11885,809.0
fe,8,9,23,370,3,12324,373.0
rw,8,10,320,73,341,11986,414.0
goni,8,10,220,173,78,12249,251.0
chan,8,10,127,266,66,12261,332.0
kenett,8,10,25,368,446,11881,814.0
fe,8,10,26,367,3,12324,370.0
rw,8,11,331,62,374,11953,436.0
goni,8,11,239,154,82,12245,236.0
chan,8,11,127,266,57,12270,323.0
kenett,8,11,28,365,443,11884,808.0
fe,8,11,29,364,3,12324,367.0
rw,8,12,344,49,406,11921,455.0
goni,8,12,248,145,84,12243,229.0
chan,8,12,130,263,59,12268,322.0
kenett,8,12,163,230,311,12016,541.0
fe,8,12,32,361,3,12324,364.0
rw,8,13,352,41,443,11884,484.0
goni,8,13,255,138,92,12235,230.0
chan,8,13,130,263,53,12274,316.0
kenett,8,13,166,227,308,12019,535.0
fe,8,13,34,359,4,12323,363.0
rw,8,14,354,39,478,11849,517.0
goni,8,14,270,123,104,12223,227.0
chan,8,14,130,263,52,12275,315.0
kenett,8,14,174,219,300,12027,519.0
fe,8,14,36,357,5,12322,362.0
rw,8,15,360,33,501,11826,534.0
goni,8,15,282,111,108,12219,219.0
chan,8,15,129,264,51,12276,315.0
kenett,8,15,183,210,291,12036,501.0
fe,8,15,39,354,5,12322,359.0
rw,8,16,363,30,542,11785,572.0
goni,8,16,288,105,121,12206,226.0
chan,8,16,134,259,40,12287,299.0
kenett,8,16,189,204,285,12042,489.0
fe,8,16,41,352,6,12321,358.0
rw,8,17,368,25,582,11745,607.0
goni,8,17,294,99,123,12204,222.0
chan,8,17,137,256,36,12291,292.0
kenett,8,17,205,188,269,12058,457.0
fe,8,17,44,349,6,12321,355.0
rw,8,18,372,21,626,11701,647.0
goni,8,18,301,92,128,12199,220.0
chan,8,18,139,254,30,12297,284.0
kenett,8,18,198,195,276,12051,471.0
fe,8,18,45,348,7,12320,355.0
rw,8,19,376,17,660,11667,677.0
goni,8,19,308,85,133,12194,218.0
chan,8,19,139,254,30,12297,284.0
kenett,8,19,196,197,278,12049,475.0
fe,8,19,47,346,7,12320,353.0
rw,8,20,377,16,692,11635,708.0
goni,8,20,311,82,141,12186,223.0
chan,8,20,139,254,32,12295,286.0
kenett,8,20,219,174,255,12072,429.0
fe,8,20,50,343,7,12320,350.0
rw,8,21,377,16,717,11610,733.0
goni,8,21,320,73,155,12172,228.0
chan,8,21,140,253,30,12297,283.0
kenett,8,21,226,167,248,12079,415.0
fe,8,21,53,340,7,12320,347.0
rw,8,22,383,10,748,11579,758.0
goni,8,22,328,65,156,12171,221.0
chan,8,22,139,254,21,12306,275.0
kenett,8,22,225,168,249,12078,417.0
fe,8,22,56,337,7,12320,344.0
rw,8,23,385,8,782,11545,790.0
goni,8,23,331,62,162,12165,224.0
chan,8,23,143,250,17,12310,267.0
kenett,8,23,238,155,236,12091,391.0
fe,8,23,58,335,8,12319,343.0
rw,8,24,385,8,810,11517,818.0
goni,8,24,334,59,169,12158,228.0
chan,8,24,144,249,16,12311,265.0
kenett,8,24,239,154,235,12092,389.0
fe,8,24,60,333,8,12319,341.0
rw,8,25,386,7,842,11485,849.0
goni,8,25,337,56,171,12156,227.0
chan,8,25,144,249,16,12311,265.0
kenett,8,25,237,156,237,12090,393.0
fe,8,25,63,330,8,12319,338.0
rw,8,26,387,6,875,11452,881.0
goni,8,26,343,50,167,12160,217.0
chan,8,26,144,249,16,12311,265.0
kenett,8,26,239,154,235,12092,389.0
fe,8,26,65,328,9,12318,337.0
rw,8,27,389,4,901,11426,905.0
goni,8,27,344,49,174,12153,223.0
chan,8,27,147,246,12,12315,258.0
kenett,8,27,244,149,230,12097,379.0
fe,8,27,67,326,9,12318,335.0
rw,8,28,390,3,926,11401,929.0
goni,8,28,348,45,180,12147,225.0
chan,8,28,146,247,13,12314,260.0
kenett,8,28,250,143,224,12103,367.0
fe,8,28,69,324,10,12317,334.0
rw,8,29,390,3,961,11366,964.0
goni,8,29,353,40,181,12146,221.0
chan,8,29,146,247,14,12313,261.0
kenett,8,29,247,146,227,12100,373.0
fe,8,29,70,323,11,12316,334.0
rw,8,30,391,2,989,11338,991.0
goni,8,30,358,35,185,12142,220.0
chan,8,30,148,245,12,12315,257.0
kenett,8,30,252,141,222,12105,363.0
fe,8,30,72,321,12,12315,333.0
rw,8,31,391,2,1018,11309,1020.0
goni,8,31,357,36,193,12134,229.0
chan,8,31,147,246,13,12314,259.0
kenett,8,31,244,149,230,12097,379.0
fe,8,31,74,319,12,12315,331.0
rw,8,32,392,1,1047,11280,1048.0
goni,8,32,359,34,194,12133,228.0
chan,8,32,146,247,15,12312,262.0
kenett,8,32,257,136,217,12110,353.0
fe,8,32,76,317,12,12315,329.0
rw,8,33,392,1,1082,11245,1083.0
goni,8,33,361,32,201,12126,233.0
chan,8,33,144,249,19,12308,268.0
kenett,8,33,254,139,220,12107,359.0
fe,8,33,77,316,13,12314,329.0
rw,8,34,392,1,1098,11229,1099.0
goni,8,34,364,29,205,12122,234.0
chan,8,34,145,248,17,12310,265.0
kenett,8,34,253,140,221,12106,361.0
fe,8,34,78,315,13,12314,328.0
rw,8,35,392,1,1129,11198,1130.0
goni,8,35,365,28,211,12116,239.0
chan,8,35,146,247,15,12312,262.0
kenett,8,35,259,134,215,12112,349.0
fe,8,35,81,312,13,12314,325.0
rw,8,36,392,1,1152,11175,1153.0
goni,8,36,368,25,214,12113,239.0
chan,8,36,147,246,14,12313,260.0
kenett,8,36,245,148,229,12098,377.0
fe,8,36,83,310,14,12313,324.0
rw,8,37,392,1,1179,11148,1180.0
goni,8,37,367,26,222,12105,248.0
chan,8,37,149,244,13,12314,257.0
kenett,8,37,259,134,215,12112,349.0
fe,8,37,85,308,14,12313,322.0
rw,8,38,392,1,1200,11127,1201.0
goni,8,38,369,24,224,12103,248.0
chan,8,38,149,244,11,12316,255.0
kenett,8,38,258,135,216,12111,351.0
fe,8,38,86,307,15,12312,322.0
rw,8,39,392,1,1222,11105,1223.0
goni,8,39,370,23,238,12089,261.0
chan,8,39,151,242,8,12319,250.0
kenett,8,39,261,132,213,12114,345.0
fe,8,39,88,305,15,12312,320.0
rw,8,40,392,1,1249,11078,1250.0
goni,8,40,373,20,238,12089,258.0
chan,8,40,151,242,8,12319,250.0
kenett,8,40,265,128,209,12118,337.0
fe,8,40,90,303,15,12312,318.0
rw,8,41,392,1,1273,11054,1274.0
goni,8,41,372,21,246,12081,267.0
chan,8,41,153,240,6,12321,246.0
kenett,8,41,265,128,209,12118,337.0
fe,8,41,92,301,15,12312,316.0
rw,8,42,392,1,1302,11025,1303.0
goni,8,42,372,21,252,12075,273.0
chan,8,42,153,240,6,12321,246.0
kenett,8,42,260,133,214,12113,347.0
fe,8,42,94,299,16,12311,315.0
rw,8,43,392,1,1320,11007,1321.0
goni,8,43,374,19,258,12069,277.0
chan,8,43,152,241,7,12320,248.0
kenett,8,43,265,128,209,12118,337.0
fe,8,43,95,298,17,12310,315.0
rw,8,44,392,1,1346,10981,1347.0
goni,8,44,377,16,267,12060,283.0
chan,8,44,150,243,9,12318,252.0
kenett,8,44,268,125,206,12121,331.0
fe,8,44,98,295,17,12310,312.0
rw,8,45,392,1,1373,10954,1374.0
goni,8,45,378,15,269,12058,284.0
chan,8,45,151,242,8,12319,250.0
kenett,8,45,272,121,202,12125,323.0
fe,8,45,99,294,18,12309,312.0
rw,8,46,393,0,1403,10924,1403.0
goni,8,46,378,15,270,12057,285.0
chan,8,46,153,240,6,12321,246.0
kenett,8,46,272,121,202,12125,323.0
fe,8,46,100,293,18,12309,311.0
rw,8,47,393,0,1439,10888,1439.0
goni,8,47,379,14,279,12048,293.0
chan,8,47,154,239,5,12322,244.0
kenett,8,47,274,119,200,12127,319.0
fe,8,47,102,291,19,12308,310.0
rw,8,48,393,0,1456,10871,1456.0
goni,8,48,381,12,284,12043,296.0
chan,8,48,155,238,4,12323,242.0
kenett,8,48,273,120,201,12126,321.0
fe,8,48,105,288,19,12308,307.0
rw,8,49,393,0,1480,10847,1480.0
goni,8,49,381,12,286,12041,298.0
chan,8,49,155,238,4,12323,242.0
kenett,8,49,278,115,196,12131,311.0
fe,8,49,108,285,19,12308,304.0
rw,8,50,393,0,1503,10824,1503.0
goni,8,50,382,11,287,12040,298.0
chan,8,50,155,238,4,12323,242.0
kenett,8,50,277,116,197,12130,313.0
fe,8,50,109,284,19,12308,303.0
rw,9,1,67,326,33,12294,359.0
goni,9,1,3,390,3,12324,393.0
chan,9,1,58,335,22,12305,357.0
kenett,9,1,11,382,184,12143,566.0
fe,9,1,3,390,0,12327,390.0
rw,9,2,112,281,73,12254,354.0
goni,9,2,21,372,8,12319,380.0
chan,9,2,86,307,47,12280,354.0
kenett,9,2,16,377,302,12025,679.0
fe,9,2,6,387,0,12327,387.0
rw,9,3,155,238,105,12222,343.0
goni,9,3,49,344,12,12315,356.0
chan,9,3,111,282,67,12260,349.0
kenett,9,3,17,376,385,11942,761.0
fe,9,3,9,384,0,12327,384.0
rw,9,4,200,193,134,12193,327.0
goni,9,4,71,322,16,12311,338.0
chan,9,4,125,268,74,12253,342.0
kenett,9,4,20,373,421,11906,794.0
fe,9,4,12,381,0,12327,381.0
rw,9,5,222,171,172,12155,343.0
goni,9,5,105,288,25,12302,313.0
chan,9,5,128,265,87,12240,352.0
kenett,9,5,21,372,435,11892,807.0
fe,9,5,15,378,0,12327,378.0
rw,9,6,245,148,208,12119,356.0
goni,9,6,132,261,33,12294,294.0
chan,9,6,125,268,85,12242,353.0
kenett,9,6,20,373,442,11885,815.0
fe,9,6,18,375,0,12327,375.0
rw,9,7,265,128,242,12085,370.0
goni,9,7,165,228,39,12288,267.0
chan,9,7,129,264,74,12253,338.0
kenett,9,7,22,371,443,11884,814.0
fe,9,7,21,372,0,12327,372.0
rw,9,8,289,104,274,12053,378.0
goni,9,8,184,209,50,12277,259.0
chan,9,8,126,267,69,12258,336.0
kenett,9,8,24,369,441,11886,810.0
fe,9,8,23,370,0,12327,370.0
rw,9,9,309,84,310,12017,394.0
goni,9,9,204,189,60,12267,249.0
chan,9,9,126,267,58,12269,325.0
kenett,9,9,24,369,441,11886,810.0
fe,9,9,25,368,0,12327,368.0
rw,9,10,322,71,341,11986,412.0
goni,9,10,216,177,67,12260,244.0
chan,9,10,128,265,58,12269,323.0
kenett,9,10,29,364,439,11888,803.0
fe,9,10,27,366,1,12326,367.0
rw,9,11,329,64,371,11956,435.0
goni,9,11,235,158,76,12251,234.0
chan,9,11,131,262,54,12273,316.0
kenett,9,11,23,370,445,11882,815.0
fe,9,11,28,365,2,12325,367.0
rw,9,12,340,53,395,11932,448.0
goni,9,12,250,143,88,12239,231.0
chan,9,12,136,257,43,12284,300.0
kenett,9,12,23,370,445,11882,815.0
fe,9,12,31,362,2,12325,364.0
rw,9,13,345,48,422,11905,470.0
goni,9,13,269,124,109,12218,233.0
chan,9,13,137,256,39,12288,295.0
kenett,9,13,38,355,430,11897,785.0
fe,9,13,34,359,2,12325,361.0
rw,9,14,357,36,459,11868,495.0
goni,9,14,280,113,118,12209,231.0
chan,9,14,141,252,34,12293,286.0
kenett,9,14,33,360,438,11889,798.0
fe,9,14,36,357,3,12324,360.0
rw,9,15,361,32,491,11836,523.0
goni,9,15,289,104,111,12216,215.0
chan,9,15,144,249,32,12295,281.0
kenett,9,15,34,359,437,11890,796.0
fe,9,15,39,354,3,12324,357.0
rw,9,16,366,27,519,11808,546.0
goni,9,16,302,91,117,12210,208.0
chan,9,16,147,246,28,12299,274.0
kenett,9,16,33,360,438,11889,798.0
fe,9,16,41,352,3,12324,355.0
rw,9,17,372,21,550,11777,571.0
goni,9,17,309,84,115,12212,199.0
chan,9,17,143,250,25,12302,275.0
kenett,9,17,37,356,434,11893,790.0
fe,9,17,44,349,3,12324,352.0
rw,9,18,376,17,578,11749,595.0
goni,9,18,318,75,135,12192,210.0
chan,9,18,146,247,22,12305,269.0
kenett,9,18,32,361,439,11888,800.0
fe,9,18,47,346,3,12324,349.0
rw,9,19,378,15,607,11720,622.0
goni,9,19,319,74,139,12188,213.0
chan,9,19,146,247,21,12306,268.0
kenett,9,19,32,361,439,11888,800.0
fe,9,19,50,343,3,12324,346.0
rw,9,20,381,12,634,11693,646.0
goni,9,20,323,70,146,12181,216.0
chan,9,20,149,244,16,12311,260.0
kenett,9,20,37,356,434,11893,790.0
fe,9,20,53,340,3,12324,343.0
rw,9,21,386,7,659,11668,666.0
goni,9,21,326,67,159,12168,226.0
chan,9,21,146,247,20,12307,267.0
kenett,9,21,35,358,436,11891,794.0
fe,9,21,56,337,3,12324,340.0
rw,9,22,387,6,684,11643,690.0
goni,9,22,329,64,154,12173,218.0
chan,9,22,146,247,19,12308,266.0
kenett,9,22,38,355,433,11894,788.0
fe,9,22,57,336,3,12324,339.0
rw,9,23,387,6,709,11618,715.0
goni,9,23,336,57,168,12159,225.0
chan,9,23,147,246,18,12309,264.0
kenett,9,23,36,357,435,11892,792.0
fe,9,23,60,333,3,12324,336.0
rw,9,24,387,6,742,11585,748.0
goni,9,24,339,54,167,12160,221.0
chan,9,24,150,243,13,12314,256.0
kenett,9,24,230,163,244,12083,407.0
fe,9,24,63,330,3,12324,333.0
rw,9,25,388,5,772,11555,777.0
goni,9,25,346,47,176,12151,223.0
chan,9,25,152,241,11,12316,252.0
kenett,9,25,235,158,239,12088,397.0
fe,9,25,65,328,4,12323,332.0
rw,9,26,389,4,803,11524,807.0
goni,9,26,349,44,179,12148,223.0
chan,9,26,151,242,11,12316,253.0
kenett,9,26,239,154,235,12092,389.0
fe,9,26,66,327,4,12323,331.0
rw,9,27,389,4,830,11497,834.0
goni,9,27,346,47,192,12135,239.0
chan,9,27,151,242,11,12316,253.0
kenett,9,27,241,152,233,12094,385.0
fe,9,27,67,326,4,12323,330.0
rw,9,28,389,4,857,11470,861.0
goni,9,28,351,42,191,12136,233.0
chan,9,28,150,243,12,12315,255.0
kenett,9,28,237,156,237,12090,393.0
fe,9,28,69,324,5,12322,329.0
rw,9,29,389,4,890,11437,894.0
goni,9,29,355,38,190,12137,228.0
chan,9,29,150,243,12,12315,255.0
kenett,9,29,240,153,234,12093,387.0
fe,9,29,71,322,5,12322,327.0
rw,9,30,389,4,913,11414,917.0
goni,9,30,357,36,196,12131,232.0
chan,9,30,151,242,11,12316,253.0
kenett,9,30,250,143,224,12103,367.0
fe,9,30,71,322,5,12322,327.0
rw,9,31,389,4,941,11386,945.0
goni,9,31,364,29,204,12123,233.0
chan,9,31,151,242,8,12319,250.0
kenett,9,31,261,132,213,12114,345.0
fe,9,31,74,319,5,12322,324.0
rw,9,32,389,4,967,11360,971.0
goni,9,32,364,29,213,12114,242.0
chan,9,32,155,238,5,12322,243.0
kenett,9,32,258,135,216,12111,351.0
fe,9,32,77,316,5,12322,321.0
rw,9,33,390,3,994,11333,997.0
goni,9,33,365,28,216,12111,244.0
chan,9,33,156,237,3,12324,240.0
kenett,9,33,257,136,217,12110,353.0
fe,9,33,80,313,5,12322,318.0
rw,9,34,390,3,1014,11313,1017.0
goni,9,34,365,28,218,12109,246.0
chan,9,34,155,238,4,12323,242.0
kenett,9,34,255,138,219,12108,357.0
fe,9,34,83,310,5,12322,315.0
rw,9,35,390,3,1043,11284,1046.0
goni,9,35,366,27,220,12107,247.0
chan,9,35,156,237,3,12324,240.0
kenett,9,35,263,130,211,12116,341.0
fe,9,35,85,308,5,12322,313.0
rw,9,36,390,3,1070,11257,1073.0
goni,9,36,367,26,220,12107,246.0
chan,9,36,156,237,3,12324,240.0
kenett,9,36,266,127,208,12119,335.0
fe,9,36,87,306,5,12322,311.0
rw,9,37,390,3,1089,11238,1092.0
goni,9,37,371,22,225,12102,247.0
chan,9,37,156,237,3,12324,240.0
kenett,9,37,273,120,201,12126,321.0
fe,9,37,88,305,5,12322,310.0
rw,9,38,390,3,1116,11211,1119.0
goni,9,38,371,22,230,12097,252.0
chan,9,38,158,235,2,12325,237.0
kenett,9,38,271,122,203,12124,325.0
fe,9,38,91,302,5,12322,307.0
rw,9,39,390,3,1139,11188,1142.0
goni,9,39,372,21,231,12096,252.0
chan,9,39,158,235,2,12325,237.0
kenett,9,39,272,121,202,12125,323.0
fe,9,39,92,301,5,12322,306.0
rw,9,40,390,3,1153,11174,1156.0
goni,9,40,375,18,230,12097,248.0
chan,9,40,158,235,2,12325,237.0
kenett,9,40,280,113,194,12133,307.0
fe,9,40,94,299,5,12322,304.0
rw,9,41,390,3,1183,11144,1186.0
goni,9,41,374,19,226,12101,245.0
chan,9,41,160,233,1,12326,234.0
kenett,9,41,278,115,196,12131,311.0
fe,9,41,96,297,6,12321,303.0
rw,9,42,390,3,1203,11124,1206.0
goni,9,42,376,17,239,12088,256.0
chan,9,42,159,234,1,12326,235.0
kenett,9,42,278,115,196,12131,311.0
fe,9,42,98,295,6,12321,301.0
rw,9,43,390,3,1231,11096,1234.0
goni,9,43,377,16,248,12079,264.0
chan,9,43,158,235,2,12325,237.0
kenett,9,43,278,115,196,12131,311.0
fe,9,43,99,294,6,12321,300.0
rw,9,44,390,3,1256,11071,1259.0
goni,9,44,377,16,258,12069,274.0
chan,9,44,158,235,1,12326,236.0
kenett,9,44,278,115,196,12131,311.0
fe,9,44,100,293,7,12320,300.0
rw,9,45,390,3,1277,11050,1280.0
goni,9,45,378,15,260,12067,275.0
chan,9,45,157,236,2,12325,238.0
kenett,9,45,279,114,195,12132,309.0
fe,9,45,101,292,9,12318,301.0
rw,9,46,390,3,1299,11028,1302.0
goni,9,46,379,14,266,12061,280.0
chan,9,46,157,236,4,12323,240.0
kenett,9,46,276,117,198,12129,315.0
fe,9,46,102,291,10,12317,301.0
rw,9,47,390,3,1329,10998,1332.0
goni,9,47,379,14,273,12054,287.0
chan,9,47,156,237,3,12324,240.0
kenett,9,47,281,112,193,12134,305.0
fe,9,47,105,288,10,12317,298.0
rw,9,48,390,3,1347,10980,1350.0
goni,9,48,379,14,274,12053,288.0
chan,9,48,156,237,5,12322,242.0
kenett,9,48,279,114,195,12132,309.0
fe,9,48,107,286,11,12316,297.0
rw,9,49,391,2,1370,10957,1372.0
goni,9,49,380,13,280,12047,293.0
chan,9,49,156,237,4,12323,241.0
kenett,9,49,287,106,187,12140,293.0
fe,9,49,108,285,13,12314,298.0
rw,9,50,391,2,1388,10939,1390.0
goni,9,50,380,13,289,12038,302.0
chan,9,50,157,236,2,12325,238.0
kenett,9,50,286,107,188,12139,295.0
fe,9,50,109,284,14,12313,298.0
