method,simnum,listnum,hit,miss,fa,cr,cost,startseed
rw,0,1,53,340,45,12282,385.0,0
goni,0,1,4,389,1,12326,390.0,0
chan,0,1,50,343,44,12283,387.0,0
kenett,0,1,14,379,244,12083,623.0,0
fe,0,1,3,390,0,12327,390.0,0
rw,0,2,100,293,86,12241,379.0,0
goni,0,2,22,371,8,12319,379.0,0
chan,0,2,80,313,67,12260,380.0,0
kenett,0,2,17,376,352,11975,728.0,0
fe,0,2,6,387,0,12327,387.0,0
rw,0,3,146,247,121,12206,368.0,0
goni,0,3,48,345,21,12306,366.0,0
chan,0,3,87,306,83,12244,389.0,0
kenett,0,3,19,374,386,11941,760.0,0
fe,0,3,9,384,0,12327,384.0,0
rw,0,4,184,209,157,12170,366.0,0
goni,0,4,73,320,30,12297,350.0,0
chan,0,4,100,293,91,12236,384.0,0
kenett,0,4,24,369,408,11919,777.0,0
fe,0,4,12,381,0,12327,381.0,0
rw,0,5,212,181,189,12138,370.0,0
goni,0,5,107,286,36,12291,322.0,0
chan,0,5,109,284,91,12236,375.0,0
kenett,0,5,14,379,430,11897,809.0,0
fe,0,5,15,378,0,12327,378.0,0
rw,0,6,245,148,222,12105,370.0,0
goni,0,6,121,272,45,12282,317.0,0
chan,0,6,109,284,99,12228,383.0,0
kenett,0,6,17,376,433,11894,809.0,0
fe,0,6,18,375,0,12327,375.0,0
rw,0,7,265,128,245,12082,373.0,0
goni,0,7,160,233,68,12259,301.0,0
chan,0,7,120,273,84,12243,357.0,0
kenett,0,7,21,372,441,11886,813.0,0
fe,0,7,21,372,0,12327,372.0,0
rw,0,8,289,104,273,12054,377.0,0
goni,0,8,181,212,83,12244,295.0,0
chan,0,8,122,271,65,12262,336.0,0
kenett,0,8,20,373,448,11879,821.0,0
fe,0,8,24,369,0,12327,369.0,0
rw,0,9,304,89,299,12028,388.0,0
goni,0,9,198,195,106,12221,301.0,0
chan,0,9,121,272,58,12269,330.0,0
kenett,0,9,20,373,448,11879,821.0,0
fe,0,9,27,366,0,12327,366.0,0
rw,0,10,319,74,325,12002,399.0,0
goni,0,10,226,167,114,12213,281.0,0
chan,0,10,123,270,50,12277,320.0,0
kenett,0,10,27,366,441,11886,807.0,0
fe,0,10,30,363,0,12327,363.0,0
rw,0,11,329,64,356,11971,420.0,0
goni,0,11,238,155,130,12197,285.0,0
chan,0,11,122,271,44,12283,315.0,0
kenett,0,11,25,368,443,11884,811.0,0
fe,0,11,33,360,0,12327,360.0,0
rw,0,12,340,53,377,11950,430.0,0
goni,0,12,252,141,139,12188,280.0,0
chan,0,12,127,266,42,12285,308.0,0
kenett,0,12,35,358,436,11891,794.0,0
fe,0,12,36,357,0,12327,357.0,0
rw,0,13,344,49,409,11918,458.0,0
goni,0,13,263,130,150,12177,280.0,0
chan,0,13,129,264,36,12291,300.0,0
kenett,0,13,38,355,433,11894,788.0,0
fe,0,13,39,354,0,12327,354.0,0
rw,0,14,349,44,435,11892,479.0,0
goni,0,14,277,116,157,12170,273.0,0
chan,0,14,139,254,27,12300,281.0,0
kenett,0,14,27,366,444,11883,810.0,0
fe,0,14,42,351,0,12327,351.0,0
rw,0,15,359,34,468,11859,502.0,0
goni,0,15,285,108,166,12161,274.0,0
chan,0,15,138,255,23,12304,278.0,0
kenett,0,15,202,191,272,12055,463.0,0
fe,0,15,45,348,0,12327,348.0,0
rw,0,16,363,30,491,11836,521.0,0
goni,0,16,293,100,172,12155,272.0,0
chan,0,16,137,256,24,12303,280.0,0
kenett,0,16,216,177,258,12069,435.0,0
fe,0,16,48,345,0,12327,345.0,0
rw,0,17,366,27,515,11812,542.0,0
goni,0,17,299,94,176,12151,270.0,0
chan,0,17,140,253,25,12302,278.0,0
kenett,0,17,221,172,253,12074,425.0,0
fe,0,17,51,342,0,12327,342.0,0
rw,0,18,367,26,539,11788,565.0,0
goni,0,18,305,88,181,12146,269.0,0
chan,0,18,141,252,22,12305,274.0,0
kenett,0,18,209,184,265,12062,449.0,0
fe,0,18,53,340,0,12327,340.0,0
rw,0,19,371,22,552,11775,574.0,0
goni,0,19,313,80,194,12133,274.0,0
chan,0,19,142,251,22,12305,273.0,0
kenett,0,19,217,176,257,12070,433.0,0
fe,0,19,54,339,0,12327,339.0,0
rw,0,20,371,22,567,11760,589.0,0
goni,0,20,324,69,201,12126,270.0,0
chan,0,20,145,248,19,12308,267.0,0
kenett,0,20,219,174,255,12072,429.0,0
fe,0,20,57,336,0,12327,336.0,0
rw,0,21,374,19,590,11737,609.0,0
goni,0,21,330,63,219,12108,282.0,0
chan,0,21,143,250,18,12309,268.0,0
kenett,0,21,228,165,246,12081,411.0,0
fe,0,21,59,334,0,12327,334.0,0
rw,0,22,375,18,612,11715,630.0,0
goni,0,22,336,57,225,12102,282.0,0
chan,0,22,143,250,17,12310,267.0,0
kenett,0,22,228,165,246,12081,411.0,0
fe,0,22,62,331,0,12327,331.0,0
rw,0,23,376,17,630,11697,647.0,0
goni,0,23,340,53,240,12087,293.0,0
chan,0,23,144,249,16,12311,265.0,0
kenett,0,23,227,166,247,12080,413.0,0
fe,0,23,63,330,0,12327,330.0,0
rw,0,24,379,14,656,11671,670.0,0
goni,0,24,346,47,246,12081,293.0,0
chan,0,24,142,251,18,12309,269.0,0
kenett,0,24,235,158,239,12088,397.0,0
fe,0,24,66,327,0,12327,327.0,0
rw,0,25,381,12,678,11649,690.0,0
goni,0,25,347,46,259,12068,305.0,0
chan,0,25,142,251,19,12308,270.0,0
kenett,0,25,223,170,251,12076,421.0,0
fe,0,25,69,324,0,12327,324.0,0
rw,0,26,382,11,696,11631,707.0,0
goni,0,26,344,49,270,12057,319.0,0
chan,0,26,144,249,16,12311,265.0,0
kenett,0,26,235,158,239,12088,397.0,0
fe,0,26,72,321,0,12327,321.0,0
rw,0,27,382,11,719,11608,730.0,0
goni,0,27,351,42,274,12053,316.0,0
chan,0,27,148,245,12,12315,257.0,0
kenett,0,27,236,157,238,12089,395.0,0
fe,0,27,74,319,0,12327,319.0,0
rw,0,28,384,9,735,11592,744.0,0
goni,0,28,358,35,280,12047,315.0,0
chan,0,28,147,246,13,12314,259.0,0
kenett,0,28,244,149,230,12097,379.0,0
fe,0,28,75,318,0,12327,318.0,0
rw,0,29,384,9,759,11568,768.0,0
goni,0,29,359,34,280,12047,314.0,0
chan,0,29,149,244,11,12316,255.0,0
kenett,0,29,243,150,231,12096,381.0,0
fe,0,29,78,315,0,12327,315.0,0
rw,0,30,384,9,778,11549,787.0,0
goni,0,30,359,34,293,12034,327.0,0
chan,0,30,148,245,11,12316,256.0,0
kenett,0,30,246,147,228,12099,375.0,0
fe,0,30,81,312,0,12327,312.0,0
rw,0,31,385,8,793,11534,801.0,0
goni,0,31,362,31,303,12024,334.0,0
chan,0,31,148,245,11,12316,256.0,0
kenett,0,31,256,137,218,12109,355.0,0
fe,0,31,82,311,0,12327,311.0,0
rw,0,32,387,6,807,11520,813.0,0
goni,0,32,365,28,313,12014,341.0,0
chan,0,32,149,244,10,12317,254.0,0
kenett,0,32,252,141,222,12105,363.0,0
fe,0,32,82,311,0,12327,311.0,0
rw,0,33,387,6,823,11504,829.0,0
goni,0,33,366,27,326,12001,353.0,0
chan,0,33,150,243,9,12318,252.0,0
kenett,0,33,252,141,222,12105,363.0,0
fe,0,33,84,309,0,12327,309.0,0
rw,0,34,388,5,838,11489,843.0,0
goni,0,34,365,28,327,12000,355.0,0
chan,0,34,150,243,9,12318,252.0,0
kenett,0,34,257,136,217,12110,353.0,0
fe,0,34,87,306,0,12327,306.0,0
rw,0,35,388,5,861,11466,866.0,0
goni,0,35,368,25,327,12000,352.0,0
chan,0,35,150,243,9,12318,252.0,0
kenett,0,35,256,137,218,12109,355.0,0
fe,0,35,90,303,0,12327,303.0,0
rw,0,36,389,4,882,11445,886.0,0
goni,0,36,371,22,333,11994,355.0,0
chan,0,36,150,243,9,12318,252.0,0
kenett,0,36,264,129,210,12117,339.0,0
fe,0,36,91,302,0,12327,302.0,0
rw,0,37,389,4,899,11428,903.0,0
goni,0,37,370,23,335,11992,358.0,0
chan,0,37,150,243,9,12318,252.0,0
kenett,0,37,265,128,209,12118,337.0,0
fe,0,37,94,299,0,12327,299.0,0
rw,0,38,389,4,913,11414,917.0,0
goni,0,38,373,20,346,11981,366.0,0
chan,0,38,149,244,10,12317,254.0,0
kenett,0,38,266,127,208,12119,335.0,0
fe,0,38,96,297,0,12327,297.0,0
rw,0,39,390,3,936,11391,939.0,0
goni,0,39,373,20,351,11976,371.0,0
chan,0,39,150,243,9,12318,252.0,0
kenett,0,39,269,124,205,12122,329.0,0
fe,0,39,97,296,0,12327,296.0,0
rw,0,40,390,3,946,11381,949.0,0
goni,0,40,376,17,357,11970,374.0,0
chan,0,40,150,243,9,12318,252.0,0
kenett,0,40,267,126,207,12120,333.0,0
fe,0,40,100,293,0,12327,293.0,0
rw,0,41,391,2,966,11361,968.0,0
goni,0,41,375,18,371,11956,389.0,0
chan,0,41,150,243,9,12318,252.0,0
kenett,0,41,269,124,205,12122,329.0,0
fe,0,41,100,293,0,12327,293.0,0
rw,0,42,391,2,976,11351,978.0,0
goni,0,42,376,17,376,11951,393.0,0
chan,0,42,151,242,8,12319,250.0,0
kenett,0,42,266,127,208,12119,335.0,0
fe,0,42,102,291,0,12327,291.0,0
rw,0,43,391,2,999,11328,1001.0,0
goni,0,43,377,16,385,11942,401.0,0
chan,0,43,150,243,9,12318,252.0,0
kenett,0,43,265,128,209,12118,337.0,0
fe,0,43,105,288,0,12327,288.0,0
rw,0,44,391,2,1021,11306,1023.0,0
goni,0,44,377,16,389,11938,405.0,0
chan,0,44,153,240,6,12321,246.0,0
kenett,0,44,260,133,214,12113,347.0,0
fe,0,44,106,287,0,12327,287.0,0
rw,0,45,391,2,1034,11293,1036.0,0
goni,0,45,377,16,390,11937,406.0,0
chan,0,45,153,240,6,12321,246.0,0
kenett,0,45,272,121,202,12125,323.0,0
fe,0,45,109,284,0,12327,284.0,0
rw,0,46,391,2,1052,11275,1054.0,0
goni,0,46,379,14,389,11938,403.0,0
chan,0,46,153,240,6,12321,246.0,0
kenett,0,46,269,124,205,12122,329.0,0
fe,0,46,111,282,0,12327,282.0,0
rw,0,47,391,2,1065,11262,1067.0,0
goni,0,47,382,11,393,11934,404.0,0
chan,0,47,153,240,6,12321,246.0,0
kenett,0,47,268,125,206,12121,331.0,0
fe,0,47,114,279,0,12327,279.0,0
rw,0,48,391,2,1081,11246,1083.0,0
goni,0,48,381,12,404,11923,416.0,0
chan,0,48,152,241,7,12320,248.0,0
kenett,0,48,267,126,207,12120,333.0,0
fe,0,48,117,276,0,12327,276.0,0
rw,0,49,391,2,1095,11232,1097.0,0
goni,0,49,382,11,413,11914,424.0,0
chan,0,49,152,241,7,12320,248.0,0
kenett,0,49,265,128,209,12118,337.0,0
fe,0,49,120,273,0,12327,273.0,0
rw,0,50,392,1,1112,11215,1113.0,0
goni,0,50,382,11,424,11903,435.0,0
chan,0,50,152,241,7,12320,248.0,0
kenett,0,50,272,121,202,12125,323.0,0
fe,0,50,123,270,0,12327,270.0,0
rw,1,1,66,327,29,12298,356.0,150
goni,1,1,10,383,4,12323,387.0,150
chan,1,1,57,336,24,12303,360.0,150
kenett,1,1,15,378,204,12123,582.0,150
fe,1,1,3,390,0,12327,390.0,150
rw,1,2,127,266,54,12273,320.0,150
goni,1,2,38,355,11,12316,366.0,150
chan,1,2,92,301,28,12299,329.0,150
kenett,1,2,17,376,289,12038,665.0,150
fe,1,2,6,387,0,12327,387.0,150
rw,1,3,167,226,82,12245,308.0,150
goni,1,3,72,321,25,12302,346.0,150
chan,1,3,103,290,40,12287,330.0,150
kenett,1,3,19,374,329,11998,703.0,150
fe,1,3,9,384,0,12327,384.0,150
rw,1,4,207,186,101,12226,287.0,150
goni,1,4,96,297,30,12297,327.0,150
chan,1,4,120,273,41,12286,314.0,150
kenett,1,4,26,367,364,11963,731.0,150
fe,1,4,11,382,0,12327,382.0,150
rw,1,5,234,159,130,12197,289.0,150
goni,1,5,120,273,43,12284,316.0,150
chan,1,5,122,271,49,12278,320.0,150
kenett,1,5,18,375,402,11925,777.0,150
fe,1,5,14,379,0,12327,379.0,150
rw,1,6,259,134,156,12171,290.0,150
goni,1,6,145,248,55,12272,303.0,150
chan,1,6,122,271,55,12272,326.0,150
kenett,1,6,19,374,416,11911,790.0,150
fe,1,6,17,376,0,12327,376.0,150
rw,1,7,275,118,194,12133,312.0,150
goni,1,7,168,225,79,12248,304.0,150
chan,1,7,118,275,60,12267,335.0,150
kenett,1,7,22,371,425,11902,796.0,150
fe,1,7,20,373,0,12327,373.0,150
rw,1,8,295,98,226,12101,324.0,150
goni,1,8,189,204,95,12232,299.0,150
chan,1,8,123,270,61,12266,331.0,150
kenett,1,8,20,373,436,11891,809.0,150
fe,1,8,23,370,0,12327,370.0,150
rw,1,9,311,82,244,12083,326.0,150
goni,1,9,207,186,99,12228,285.0,150
chan,1,9,124,269,60,12267,329.0,150
kenett,1,9,22,371,437,11890,808.0,150
fe,1,9,26,367,0,12327,367.0,150
rw,1,10,323,70,279,12048,349.0,150
goni,1,10,226,167,111,12216,278.0,150
chan,1,10,130,263,59,12268,322.0,150
kenett,1,10,34,359,434,11893,793.0,150
fe,1,10,29,364,0,12327,364.0,150
rw,1,11,333,60,306,12021,366.0,150
goni,1,11,244,149,120,12207,269.0,150
chan,1,11,132,261,59,12268,320.0,150
kenett,1,11,50,343,421,11906,764.0,150
fe,1,11,31,362,0,12327,362.0,150
rw,1,12,346,47,332,11995,379.0,150
goni,1,12,253,140,125,12202,265.0,150
chan,1,12,132,261,54,12273,315.0,150
kenett,1,12,186,207,288,12039,495.0,150
fe,1,12,34,359,0,12327,359.0,150
rw,1,13,352,41,366,11961,407.0,150
goni,1,13,264,129,136,12191,265.0,150
chan,1,13,132,261,48,12279,309.0,150
kenett,1,13,190,203,284,12043,487.0,150
fe,1,13,37,356,0,12327,356.0,150
rw,1,14,363,30,398,11929,428.0,150
goni,1,14,281,112,149,12178,261.0,150
chan,1,14,134,259,39,12288,298.0,150
kenett,1,14,191,202,283,12044,485.0,150
fe,1,14,39,354,0,12327,354.0,150
rw,1,15,369,24,424,11903,448.0,150
goni,1,15,292,101,158,12169,259.0,150
chan,1,15,131,262,34,12293,296.0,150
kenett,1,15,206,187,268,12059,455.0,150
fe,1,15,42,351,0,12327,351.0,150
rw,1,16,373,20,444,11883,464.0,150
goni,1,16,301,92,164,12163,256.0,150
chan,1,16,135,258,30,12297,288.0,150
kenett,1,16,207,186,267,12060,453.0,150
fe,1,16,45,348,0,12327,348.0,150
rw,1,17,377,16,471,11856,487.0,150
goni,1,17,308,85,173,12154,258.0,150
chan,1,17,140,253,27,12300,280.0,150
kenett,1,17,210,183,264,12063,447.0,150
fe,1,17,48,345,0,12327,345.0,150
rw,1,18,381,12,488,11839,500.0,150
goni,1,18,316,77,173,12154,250.0,150
chan,1,18,140,253,26,12301,279.0,150
kenett,1,18,204,189,270,12057,459.0,150
fe,1,18,49,344,0,12327,344.0,150
rw,1,19,382,11,517,11810,528.0,150
goni,1,19,321,72,181,12146,253.0,150
chan,1,19,142,251,22,12305,273.0,150
kenett,1,19,216,177,258,12069,435.0,150
fe,1,19,52,341,0,12327,341.0,150
rw,1,20,384,9,537,11790,546.0,150
goni,1,20,330,63,193,12134,256.0,150
chan,1,20,139,254,25,12302,279.0,150
kenett,1,20,220,173,254,12073,427.0,150
fe,1,20,55,338,0,12327,338.0,150
rw,1,21,384,9,559,11768,568.0,150
goni,1,21,333,60,196,12131,256.0,150
chan,1,21,144,249,20,12307,269.0,150
kenett,1,21,223,170,251,12076,421.0,150
fe,1,21,57,336,0,12327,336.0,150
rw,1,22,387,6,573,11754,579.0,150
goni,1,22,339,54,204,12123,258.0,150
chan,1,22,146,247,16,12311,263.0,150
kenett,1,22,229,164,245,12082,409.0,150
fe,1,22,60,333,0,12327,333.0,150
rw,1,23,389,4,595,11732,599.0,150
goni,1,23,343,50,215,12112,265.0,150
chan,1,23,144,249,18,12309,267.0,150
kenett,1,23,236,157,238,12089,395.0,150
fe,1,23,63,330,0,12327,330.0,150
rw,1,24,389,4,617,11710,621.0,150
goni,1,24,347,46,231,12096,277.0,150
chan,1,24,144,249,16,12311,265.0,150
kenett,1,24,234,159,240,12087,399.0,150
fe,1,24,65,328,0,12327,328.0,150
rw,1,25,389,4,637,11690,641.0,150
goni,1,25,349,44,244,12083,288.0,150
chan,1,25,144,249,17,12310,266.0,150
kenett,1,25,235,158,239,12088,397.0,150
fe,1,25,68,325,0,12327,325.0,150
rw,1,26,390,3,666,11661,669.0,150
goni,1,26,355,38,255,12072,293.0,150
chan,1,26,145,248,14,12313,262.0,150
kenett,1,26,240,153,234,12093,387.0,150
fe,1,26,70,323,0,12327,323.0,150
rw,1,27,390,3,684,11643,687.0,150
goni,1,27,358,35,266,12061,301.0,150
chan,1,27,145,248,14,12313,262.0,150
kenett,1,27,247,146,227,12100,373.0,150
fe,1,27,73,320,0,12327,320.0,150
rw,1,28,392,1,701,11626,702.0,150
goni,1,28,358,35,268,12059,303.0,150
chan,1,28,144,249,15,12312,264.0,150
kenett,1,28,245,148,229,12098,377.0,150
fe,1,28,76,317,0,12327,317.0,150
rw,1,29,392,1,714,11613,715.0,150
goni,1,29,362,31,275,12052,306.0,150
chan,1,29,147,246,12,12315,258.0,150
kenett,1,29,238,155,236,12091,391.0,150
fe,1,29,78,315,0,12327,315.0,150
rw,1,30,392,1,733,11594,734.0,150
goni,1,30,363,30,284,12043,314.0,150
chan,1,30,148,245,11,12316,256.0,150
kenett,1,30,249,144,225,12102,369.0,150
fe,1,30,78,315,0,12327,315.0,150
rw,1,31,392,1,752,11575,753.0,150
goni,1,31,362,31,293,12034,324.0,150
chan,1,31,148,245,11,12316,256.0,150
kenett,1,31,251,142,223,12104,365.0,150
fe,1,31,81,312,0,12327,312.0,150
rw,1,32,392,1,774,11553,775.0,150
goni,1,32,363,30,303,12024,333.0,150
chan,1,32,150,243,9,12318,252.0,150
kenett,1,32,256,137,218,12109,355.0,150
fe,1,32,84,309,0,12327,309.0,150
rw,1,33,392,1,792,11535,793.0,150
goni,1,33,363,30,310,12017,340.0,150
chan,1,33,152,241,7,12320,248.0,150
kenett,1,33,259,134,215,12112,349.0,150
fe,1,33,87,306,0,12327,306.0,150
rw,1,34,392,1,816,11511,817.0,150
goni,1,34,363,30,314,12013,344.0,150
chan,1,34,152,241,7,12320,248.0,150
kenett,1,34,254,139,220,12107,359.0,150
fe,1,34,88,305,0,12327,305.0,150
rw,1,35,393,0,835,11492,835.0,150
goni,1,35,366,27,320,12007,347.0,150
chan,1,35,152,241,7,12320,248.0,150
kenett,1,35,254,139,220,12107,359.0,150
fe,1,35,91,302,0,12327,302.0,150
rw,1,36,393,0,859,11468,859.0,150
goni,1,36,367,26,316,12011,342.0,150
chan,1,36,152,241,8,12319,249.0,150
kenett,1,36,253,140,221,12106,361.0,150
fe,1,36,94,299,0,12327,299.0,150
rw,1,37,393,0,873,11454,873.0,150
goni,1,37,367,26,320,12007,346.0,150
chan,1,37,151,242,9,12318,251.0,150
kenett,1,37,258,135,216,12111,351.0,150
fe,1,37,96,297,0,12327,297.0,150
rw,1,38,393,0,892,11435,892.0,150
goni,1,38,368,25,327,12000,352.0,150
chan,1,38,151,242,9,12318,251.0,150
kenett,1,38,252,141,222,12105,363.0,150
fe,1,38,97,296,0,12327,296.0,150
rw,1,39,393,0,910,11417,910.0,150
goni,1,39,371,22,334,11993,356.0,150
chan,1,39,151,242,8,12319,250.0,150
kenett,1,39,249,144,225,12102,369.0,150
fe,1,39,98,295,0,12327,295.0,150
rw,1,40,393,0,928,11399,928.0,150
goni,1,40,371,22,338,11989,360.0,150
chan,1,40,150,243,9,12318,252.0,150
kenett,1,40,253,140,221,12106,361.0,150
fe,1,40,101,292,0,12327,292.0,150
rw,1,41,393,0,939,11388,939.0,150
goni,1,41,372,21,353,11974,374.0,150
chan,1,41,151,242,8,12319,250.0,150
kenett,1,41,251,142,223,12104,365.0,150
fe,1,41,101,292,0,12327,292.0,150
rw,1,42,393,0,958,11369,958.0,150
goni,1,42,373,20,352,11975,372.0,150
chan,1,42,150,243,9,12318,252.0,150
kenett,1,42,259,134,215,12112,349.0,150
fe,1,42,102,291,0,12327,291.0,150
rw,1,43,393,0,973,11354,973.0,150
goni,1,43,375,18,353,11974,371.0,150
chan,1,43,151,242,8,12319,250.0,150
kenett,1,43,257,136,217,12110,353.0,150
fe,1,43,104,289,0,12327,289.0,150
rw,1,44,393,0,989,11338,989.0,150
goni,1,44,379,14,365,11962,379.0,150
chan,1,44,152,241,7,12320,248.0,150
kenett,1,44,265,128,209,12118,337.0,150
fe,1,44,107,286,0,12327,286.0,150
rw,1,45,393,0,1007,11320,1007.0,150
goni,1,45,379,14,370,11957,384.0,150
chan,1,45,151,242,8,12319,250.0,150
kenett,1,45,263,130,211,12116,341.0,150
fe,1,45,110,283,0,12327,283.0,150
rw,1,46,393,0,1025,11302,1025.0,150
goni,1,46,380,13,376,11951,389.0,150
chan,1,46,153,240,7,12320,247.0,150
kenett,1,46,268,125,206,12121,331.0,150
fe,1,46,112,281,0,12327,281.0,150
rw,1,47,393,0,1042,11285,1042.0,150
goni,1,47,380,13,378,11949,391.0,150
chan,1,47,152,241,7,12320,248.0,150
kenett,1,47,261,132,213,12114,345.0,150
fe,1,47,114,279,0,12327,279.0,150
rw,1,48,393,0,1056,11271,1056.0,150
goni,1,48,383,10,387,11940,397.0,150
chan,1,48,151,242,8,12319,250.0,150
kenett,1,48,263,130,211,12116,341.0,150
fe,1,48,116,277,0,12327,277.0,150
rw,1,49,393,0,1067,11260,1067.0,150
goni,1,49,385,8,396,11931,404.0,150
chan,1,49,151,242,8,12319,250.0,150
kenett,1,49,265,128,209,12118,337.0,150
fe,1,49,118,275,0,12327,275.0,150
rw,1,50,393,0,1081,11246,1081.0,150
goni,1,50,385,8,406,11921,414.0,150
chan,1,50,151,242,8,12319,250.0,150
kenett,1,50,262,131,212,12115,343.0,150
fe,1,50,119,274,0,12327,274.0,150
rw,2,1,59,334,42,12285,376.0,300
goni,2,1,6,387,2,12325,389.0,300
chan,2,1,53,340,38,12289,378.0,300
kenett,2,1,14,379,208,12119,587.0,300
fe,2,1,3,390,0,12327,390.0,300
rw,2,2,118,275,79,12248,354.0,300
goni,2,2,18,375,13,12314,388.0,300
chan,2,2,82,311,65,12262,376.0,300
kenett,2,2,16,377,329,11998,706.0,300
fe,2,2,6,387,0,12327,387.0,300
rw,2,3,165,228,107,12220,335.0,300
goni,2,3,51,342,22,12305,364.0,300
chan,2,3,106,287,67,12260,354.0,300
kenett,2,3,18,375,381,11946,756.0,300
fe,2,3,9,384,0,12327,384.0,300
rw,2,4,201,192,141,12186,333.0,300
goni,2,4,75,318,31,12296,349.0,300
chan,2,4,114,279,71,12256,350.0,300
kenett,2,4,18,375,405,11922,780.0,300
fe,2,4,12,381,0,12327,381.0,300
rw,2,5,234,159,166,12161,325.0,300
